Video Name,SI ,TI,E,H,K(VMAF)
AncientThought_s000,4.93421,13.2903,4.8583,3.4905,287361.9898
AncientThought_s001,5.01841,4.51282,4.4917,2.013,280709.6038
AncientThought_s002,18.0281,3.19386,11.6,2.7683,301823.9476
AncientThought_s003,45.1816,2.32865,25.625,3.3057,292440.2353
AncientThought_s004,21.4646,1.51187,12.9667,3.0876,304688.1693
AncientThought_s005,8.89555,3.8997,4.6083,3.8818,319814.8378
AncientThought_s006,11.0208,4.04023,6,3.9819,321081.1772
AncientThought_s007,10.0273,2.47309,5.7833,3.1267,319606.0536
AncientThought_s008,8.29509,3.2707,6.175,3.1214,315930.0617
AncientThought_s009,8.44365,3.11873,9.425,4.0734,297740.1132
AncientThought_s010,9.1112,6.37751,6.875,5.8669,303371.2358
AncientThought_s011,5.45364,4.47137,4.7583,5.031,304862.3535
AncientThought_s012,10.8343,2.60771,6.65,4.0445,311440.3035
AncientThought_s013,11.6624,7.21843,6.9833,4.4232,316146.8068
AncientThought_s014,8.29821,9.03457,5.9917,5.3393,315431.362
AncientThought_s015,7.94334,9.39928,6.2417,6.1864,312653.8403
AncientThought_s016,11.3496,5.95885,7.0917,5.2558,312814.415
AncientThought_s017,10.1888,6.88552,7.0333,5.092,309147.7671
AncientThought_s018,8.13862,8.27256,8.025,4.8051,291152.9121
AncientThought_s019,8.0651,2.55798,6.2167,4.4213,307393.4005
AncientThought_s020,10.4865,2.88577,8.6667,4.1738,297772.1818
AncientThought_s021,9.62826,6.01448,7.3417,4.275,298390.9154
AncientThought_s022,4.27445,2.98993,6.325,2.7527,276383.6263
AncientThought_s023,5.61096,3.46706,6.5,4.5387,304314.3891
AncientThought_s024,7.2722,6.84138,5.2,4.7389,309318.3049
AncientThought_s025,5.73479,8.69526,5.5833,5.479,299088.4183
AncientThought_s026,5.62362,5.72347,6.0167,3.5542,305856.5578
AncientThought_s027,6.11623,1.35748,3.1667,3.5873,320170.6131
AncientThought_s028,5.02611,3.80015,2.8333,4.6207,315365.5204
Busy_City_s000,18.3076,16.9664,9.3417,12.2843,271327.8351
Busy_City_s001,25.7398,11.7662,18.7083,10.0884,242255.4263
Busy_City_s002,32.4491,6.54991,27.05,5.2378,275964.4442
Busy_City_s003,21.3778,1.73425,11.6083,2.0847,305126.5404
Busy_City_s004,20.7021,2.54971,10.9417,2.5681,294146.8289
Busy_City_s005,19.2588,4.84364,11.7667,4.4154,277973.1476
Busy_City_s006,18.3489,6.45377,11.3667,4.9125,282929.3961
Busy_City_s007,18.2893,18.2658,6.6833,5.5916,312425.4466
Busy_City_s008,18.2696,11.8711,10.2917,6.8422,283533.6122
Busy_City_s009,16.2014,5.29122,7.875,4.6502,289704.5658
Busy_City_s010,18.6256,5.1314,8.1083,3.9833,303738.561
Busy_City_s011,18.2645,5.60412,7.825,4.4393,304480.056
Busy_City_s012,25.8375,5.67655,17.825,4.778,288362.5477
Busy_City_s013,31.6243,5.6595,23.7833,5.8361,301186.5765
Busy_City_s014,25.504,15.6519,15.5667,15.6548,262041.1595
Busy_City_s015,21.8409,16.7378,11.4667,13.7387,263860.8002
Busy_City_s016,21.4792,8.56842,12.4167,8.5454,260747.257
Busy_City_s017,20.6739,7.93124,6.1667,3.8397,311777.059
Busy_City_s018,28.7125,7.9396,18.8083,6.661,279546.7636
Busy_City_s019,41.5544,6.10839,34.8917,6.3828,291587.8324
Busy_City_s020,34.338,11.567,24.6083,13.6677,269113.9918
Busy_City_s021,32.7794,6.8029,24.9083,8.7228,266925.0084
Busy_City_s022,29.2655,3.13662,20.8333,2.5819,302127.0706
Busy_City_s023,28.2769,2.98301,18.6583,2.9089,298408.6438
Busy_City_s024,29.9242,3.91873,18.9333,2.3901,315381.7896
Childs_Play_s000,32.5739,4.30521,43.7917,7.5541,273849.5778
Childs_Play_s001,28.8975,3.98623,26.3417,6.1078,276977.7332
Childs_Play_s002,26.2859,3.9738,17.2083,4.1771,289159.1039
Childs_Play_s003,27.7973,10.4848,22.4167,11.0221,290213.91
Childs_Play_s004,19.9492,1.10352,11.0417,1.3305,305130.3269
Childs_Play_s005,19.8971,3.47611,10.975,2.1768,302145.0933
Childs_Play_s006,21.2154,2.02888,16.1583,3.1966,285206.7253
Childs_Play_s007,22.5966,2.1048,16.6583,3.0321,283915.8485
Childs_Play_s008,25.2435,1.82007,16.175,1.9556,306167.6297
Childs_Play_s009,23.2676,5.35562,14.0333,4.2021,287687.7658
Childs_Play_s010,20.0896,11.3776,9.1583,7.69,278050.414
Childs_Play_s011,20.5581,8.94209,9.9167,6.5313,286388.8431
Childs_Play_s012,20.6477,1.65305,9.9583,1.8795,299188.6707
Childs_Play_s013,21.6254,3.38059,12.3667,2.9565,280106.8064
Childs_Play_s014,24.7925,9.00207,17.9667,5.671,269452.1273
Childs_Play_s015,25.0003,6.02037,18.2167,3.6344,282850.3969
Childs_Play_s016,27.9229,4.55198,18.1167,3.4503,273219.0564
Childs_Play_s017,30.2154,1.33038,18.0667,1.4266,290633.0152
Childs_Play_s018,30.1994,1.01936,18,1.2981,291179.8568
Eldorado_s001,27.6226,6.35168,22.45,7.7836,279222.7628
Eldorado_s002,34.8026,3.28015,31.0583,6.1072,284301.0063
Eldorado_s003,38.8134,17.7793,49.4417,25.3103,277712.3259
Eldorado_s004,58.5047,22.0686,85.2083,27.5187,267015.2606
Eldorado_s005,55.4637,3.40129,100.375,9.2266,265593.003
Eldorado_s006,48.0681,4.40633,83.4417,10.4996,277326.2823
Eldorado_s007,10.2709,6.93098,14.425,6.3716,246588.0076
Eldorado_s008,11.3488,9.33052,15.2833,7.5488,235321.6311
Eldorado_s009,10.3548,13.0604,14.35,8.6934,226883.3115
Eldorado_s010,34.4035,15.9688,47.5583,22.5972,179576.3705
Eldorado_s011,39.8074,19.0843,60.8917,28.4841,139939.0748
Eldorado_s012,48.4083,11.121,60.575,18.9295,131290.8123
Eldorado_s013,37.4185,14.1733,37.4667,23.6811,163335.1006
Eldorado_s014,21.8987,16.3152,28.9083,33.0319,112994.2217
Eldorado_s015,18.1429,14.0394,23.95,34.2602,101689.4781
Eldorado_s016,21.5666,13.834,27.225,34.3115,101082.3791
Eldorado_s017,43.1053,7.30249,48.725,14.9092,205072.0906
Eldorado_s018,30.9621,9.57236,35.9583,14.5351,219626.0412
Eldorado_s019,27.8145,12.469,27.8083,13.2198,299528.197
Eldorado_s020,17.5612,2.87196,18.1583,5.4785,276377.5747
Eldorado_s021,27.1819,2.14625,31.0417,4.2268,297220.4643
Eldorado_s022,24.1177,1.73868,28.4417,3.4597,302400.2585
Eldorado_s023,19.9672,10.2563,28.275,16.2259,257001.6529
Eldorado_s024,28.3589,20.4182,37.5,35.0469,217415.1552
Eldorado_s025,32.1871,19.3036,44.9583,33.5665,134967.9657
Eldorado_s026,24.2655,16.1879,40.4417,24.1716,145804.6006
Eldorado_s027,21.5939,15.1735,34.725,22.2576,171760.4532
Eldorado_s028,24.3922,15.1568,37.0833,20.432,166421.9708
Eldorado_s029,41.7106,21.2881,52.55,31.1111,216674.8548
Eldorado_s030,56.5509,13.1776,73.9917,19.1079,234909.257
Eldorado_s031,52.9428,12.1122,73.175,16.0255,248422.9294
Eldorado_s032,54.6961,9.80965,76.025,14.0631,246766.3484
Eldorado_s033,44.7519,4.38051,62.3583,10.2629,249665.7992
Eldorado_s034,70.5166,0.334728,33.375,2.0236,325033.8675
Fun_on_the_river_s000,26.868,4.89632,23.2583,6.7718,311336.2467
Fun_on_the_river_s002,19.4174,9.83799,18.4,25.1461,123970.4072
Fun_on_the_river_s003,19.7092,10.1263,18.7417,26.1277,133123.8854
Fun_on_the_river_s004,26.2356,10.2037,26.675,24.0976,105904.0166
Fun_on_the_river_s005,30.0923,12.6473,31.6417,30.7935,92628.08966
Fun_on_the_river_s006,28.1464,15.8009,31.0167,41.3912,83777.444
Fun_on_the_river_s007,23.7185,12.0242,25.6333,28.8211,112312.4809
Fun_on_the_river_s008,24.0546,10.7831,26.4667,28.1296,120700.0608
Fun_on_the_river_s010,22.2452,15.6573,20.0167,61.7187,67854.73788
Fun_on_the_river_s011,23.1969,12.8471,24.2667,40.5659,75529.96968
Fun_on_the_river_s012,24.4633,9.2532,26.4167,18.6038,139355.8423
Fun_on_the_river_s013,23.2301,9.63219,25.575,21.8255,127018.924
Fun_on_the_river_s014,21.9975,16.208,21.2667,44.9584,102577.7169
Fun_on_the_river_s015,21.5881,13.3347,20.9583,36.0785,94117.43436
Fun_on_the_river_s017,32.9284,19.1114,29.7583,46.7079,94375.466
Fun_on_the_river_s019,18.8467,13.461,17.65,36.0807,101343.0191
Fun_on_the_river_s020,20.2097,14.0991,20.0167,41.8311,78169.7407
Fun_on_the_river_s021,20.3707,7.69046,18.3583,17.9185,156100.1627
Fun_on_the_river_s022,22.4915,6.05748,20.175,10.7158,208344.7951
Fun_on_the_river_s023,20.9304,9.22936,20.4667,21.7768,139036.4933
Fun_on_the_river_s024,21.2982,12.8753,22.775,33.5633,98596.21524
Fun_on_the_river_s025,21.1763,11.2385,22.85,30.8213,100325.7367
Fun_on_the_river_s026,23.8938,11.3518,26.5333,30.405,113408.2161
Fun_on_the_river_s027,23.7523,10.821,26.4833,28.6854,111107.8408
Fun_on_the_river_s028,22.9464,10.3434,25.3667,26.9326,116300.9233
Indoor_Soccer_000,17.5414,11.1183,19.2917,11.0682,274329.1015
Indoor_Soccer_001,49.1536,5.13202,36.8417,7.5414,288318.1626
Indoor_Soccer_002,21.2497,16.8018,27.0417,15.4827,225390.2511
Indoor_Soccer_004,18.1026,18.0831,20.925,14.3326,259512.5328
Indoor_Soccer_005,17.9638,20.7757,16.225,19.3247,273050.4645
Indoor_Soccer_006,17.1156,15.5273,16.425,12.9105,268995.7882
Indoor_Soccer_007,18.6945,21.8464,20.1167,20.9505,216796.448
Indoor_Soccer_008,13.62,22.8311,17.9333,18.7166,233532.7337
