video,si,ti,e,h,mvResMean,mvResStf,mvResMin,mvResMax,pixVarMean,pixVarStd,pixVarMin,pixVarMax,kpsnr,kssim,kvmaf
AncientThought_s000,4.93421,13.2903,4.8583,3.4905,24366.275,3875.307581,14793,31310,4149.19,2203.16,2.36,7406.92,154806.4163,3294.423706,287361.9898
AncientThought_s001,5.01841,4.51282,4.4917,2.013,19699.375,4857.102828,16939,70427,1393.61,625.85,530.60,2788.16,160002.6793,3305.175582,280709.6038
AncientThought_s002,18.0281,3.19386,11.6,2.7683,22704.3,6062.738344,14023,60001,1853.81,728.53,579.77,2817.55,157026.0002,3307.017778,301823.9476
AncientThought_s003,45.1816,2.32865,25.625,3.3057,137779.7917,264122.2617,30259,2256621,2986.35,380.98,2436.16,3572.35,143466.7404,3298.674702,292440.2353
AncientThought_s004,21.4646,1.51187,12.9667,3.0876,38455.475,222013.6038,954,2456204,1339.69,1430.8,1.97,3688.4,161930.1597,3323.215414,304688.1693
AncientThought_s005,8.89555,3.8997,4.6083,3.8818,12238.48333,4674.409303,7460,60907,460.02,187.8,84.95,724.17,173476.4006,3331.79193,319814.8378
AncientThought_s006,11.0208,4.04023,6,3.9819,16201.6,25532.49316,13134,294696,780.49,20.57,725.03,797.98,171532.9537,3329.735138,321081.1772
AncientThought_s007,10.0273,2.47309,5.7833,3.1267,15284.93333,22361.75238,11724,259117,735.51,32.05,686.84,787.64,171857.7538,3329.906822,319606.0536
AncientThought_s008,8.29509,3.2707,6.175,3.1214,20960.04167,22699.40983,11496,217253,494.07,148.39,333.88,695.22,166904.5455,3321.968114,315930.0617
AncientThought_s009,8.44365,3.11873,9.425,4.0734,51934.66667,29372.08639,17168,247174,2319.98,1275.99,409.90,3335.35,148622.443,3243.693217,297740.1132
AncientThought_s010,9.1112,6.37751,6.875,5.8669,31969.225,30829.38055,15255,253028,1438.21,970.74,221.66,3505.03,156999.0419,3297.041113,303371.2358
AncientThought_s011,5.45364,4.47137,4.7583,5.031,17114.81667,7679.51934,11769,79966,212.7,27.22,162.33,313.67,166042.8357,3321.186568,304862.3535
AncientThought_s012,10.8343,2.60771,6.65,4.0445,22748.93333,39219.70875,14262,446910,706.23,400.92,221.36,1047.06,166821.4167,3323.368554,311440.3035
AncientThought_s013,11.6624,7.21843,6.9833,4.4232,27713.06667,45101.2066,15856,474673,1307.36,212.21,1025.77,1600.93,162901.5493,3319.466505,316146.8068
AncientThought_s014,8.29821,9.03457,5.9917,5.3393,22162.43333,23819.64515,14294,274066,1203.78,158.77,694.35,1409.61,165621.8991,3321.904605,315431.362
AncientThought_s015,7.94334,9.39928,6.2417,6.1864,22846.85,19513.14077,17599,189363,1449.07,316.07,1046.00,2343.63,165230.5877,3320.611821,312653.8403
AncientThought_s016,11.3496,5.95885,7.0917,5.2558,25580.86667,32479.64514,17765,291637,1498.05,805.79,898.73,2794.55,165106.4781,3321.837488,312814.415
AncientThought_s017,10.1888,6.88552,7.0333,5.092,27747.45,26003.78964,19920,285606,1322.81,531.56,974.03,2642.66,163664.4807,3319.197538,309147.7671
AncientThought_s018,8.13862,8.27256,8.025,4.8051,32675.325,8321.361211,25227,114382,1376.06,763.23,276.52,2614.65,156735.8119,3302.074478,291152.9121
AncientThought_s019,8.0651,2.55798,6.2167,4.4213,24828.875,26797.60188,11733,239815,614.24,363.14,233.54,969.5,164749.9471,3319.874459,307393.4005
AncientThought_s020,10.4865,2.88577,8.6667,4.1738,29035.825,17083.79388,24024,213863,239.8,2.71,235.42,246.43,159888.0458,3309.99549,297772.1818
AncientThought_s021,9.62826,6.01448,7.3417,4.275,34099.375,35531.91866,20903,355525,2383.24,1691.07,236.51,4705.04,156525.1998,3298.51271,298390.9154
AncientThought_s022,4.27445,2.98993,6.325,2.7527,29476.2,6740.785155,21407,84617,2305,1867.13,160.78,4274.37,154629.4125,3286.738788,276383.6263
AncientThought_s023,5.61096,3.46706,6.5,4.5387,28510.275,11574.58918,17491,134004,211.54,167.3,58.96,1139.18,160799.5745,3308.503141,304314.3891
AncientThought_s024,7.2722,6.84138,5.2,4.7389,23526.84167,17198.77877,13616,141538,1127.61,193.4,753.13,1670.89,164765.9884,3321.061448,309318.3049
AncientThought_s025,5.73479,8.69526,5.5833,5.479,32723.5,14413.53619,16480,165207,1036.66,79.24,817.94,1238.62,160858.9855,3313.831902,299088.4183
AncientThought_s026,5.62362,5.72347,6.0167,3.5542,24994.625,9595.394646,17565,91001,1038.42,211.29,782.62,1791.88,162623.9046,3316.10926,305856.5578
AncientThought_s027,6.11623,1.35748,3.1667,3.5873,10702.13333,12418.74921,4777,104862,360.64,355.62,132.09,1063.19,175244.2551,3333.226036,320170.6131
AncientThought_s028,5.02611,3.80015,2.8333,4.6207,11839.94167,5880.161495,6111,65876,61.32,47.43,32.90,342.24,174828.1257,3332.942295,315365.5204
Busy_City_s000,18.3076,16.9664,9.3417,12.2843,79504.175,36133.13742,0,152648,1580.67,629.2,0.00,2155.29,150364.9196,3293.117195,271327.8351
Busy_City_s001,25.7398,11.7662,18.7083,10.0884,94859.35,98851.22686,45381,1136428,1689.32,204.93,1265.91,2044.61,139630.6365,3247.597536,242255.4263
Busy_City_s002,32.4491,6.54991,27.05,5.2378,74052.11667,219268.6851,30377,2451414,1599.98,59.77,1319.26,1704.23,144037.9234,3269.058668,275964.4442
Busy_City_s003,21.3778,1.73425,11.6083,2.0847,25357.18333,128403.4701,6131,1417295,1714.04,184.82,1226.60,1809.3,164460.5272,3323.198809,305126.5404
Busy_City_s004,20.7021,2.54971,10.9417,2.5681,24358.95833,92340.12127,9748,1026720,1783.77,14.41,1754.57,1811.55,161474.5931,3319.32509,294146.8289
Busy_City_s005,19.2588,4.84364,11.7667,4.4154,37777.00833,102223.4361,8281,1142110,1210.78,323.36,917.49,1790.21,155405.955,3304.213285,277973.1476
Busy_City_s006,18.3489,6.45377,11.3667,4.9125,40770.00833,74858.5448,20167,845857,1061.63,10,1034.37,1084.33,157482.6999,3309.530986,282929.3961
Busy_City_s007,18.2893,18.2658,6.6833,5.5916,32044.65833,70316.49135,3438,767493,1639.35,861.75,712.31,3381.91,166970.7753,3327.84659,312425.4466
Busy_City_s008,18.2696,11.8711,10.2917,6.8422,42237.63333,71716.58853,6350,793593,1163.49,796.24,744.95,3379.99,156428.2595,3305.799708,283533.6122
Busy_City_s009,16.2014,5.29122,7.875,4.6502,35377.30833,64854.57933,22408,738627,921.52,108.74,680.02,1044.68,160402.0295,3318.140722,289704.5658
Busy_City_s010,18.6256,5.1314,8.1083,3.9833,34715.96667,51129.7653,20388,581014,1049.75,31.5,969.46,1100.47,165885.8054,3328.114602,303738.561
Busy_City_s011,18.2645,5.60412,7.825,4.4393,35525.35833,63477.66301,15200,717302,1020.9,28.47,963.87,1072.74,166280.4161,3328.321655,304480.056
Busy_City_s012,25.8375,5.67655,17.825,4.778,35208.89167,53886.76313,9070,611218,1380.06,370.66,813.21,1781.13,153906.4533,3301.529596,288362.5477
Busy_City_s013,31.6243,5.6595,23.7833,5.8361,59940.44167,186488.7788,23345,2080519,1753.15,38.2,1724.16,1891.28,154414.586,3304.424905,301186.5765
Busy_City_s014,25.504,15.6519,15.5667,15.6548,98051.98333,177001.6718,53725,1997085,1389.5,758.25,811.15,3313.64,142264.6123,3273.447544,262041.1595
Busy_City_s015,21.8409,16.7378,11.4667,13.7387,81525.43333,98271.41013,45991,1105083,1190.36,710.98,621.97,3179.92,144661.2007,3282.45095,263860.8002
Busy_City_s016,21.4792,8.56842,12.4167,8.5454,53378.84167,63264.53027,27291,728140,941.02,429.28,562.27,1697.07,145134.735,3278.243348,260747.257
Busy_City_s017,20.6739,7.93124,6.1667,3.8397,23116.95833,73398.14688,8142,817443,2126.11,171.08,1455.82,2383.36,168526.3016,3329.380064,311777.059
Busy_City_s018,28.7125,7.9396,18.8083,6.661,53579.31667,88145.89863,9360,971062,2164.3,249.74,1613.41,2703.75,147554.2069,3287.461734,279546.7636
