video,si,ti,e,h,mvResMean,mvResStd,mvResMin,mvResMax,pixVarMean,pixVarStd,pixVarMin,pixVarMax,klpips,klpips_trans
AncientThought_s000,4.93421,13.2903,4.8583,3.4905,24366.275,3875.307581,14793,31310,4149.189365,2203.163251,2.361801854,7406.923372,548.5733402,32.43053508
AncientThought_s001,5.01841,4.51282,4.4917,2.013,19699.375,4857.102828,16939,70427,1393.611897,625.8541725,530.6022191,2788.161676,439.2871907,25.889838
AncientThought_s002,18.0281,3.19386,11.6,2.7683,22704.3,6062.738344,14023,60001,1853.812244,728.5288382,579.7705363,2817.551407,403.0540169,23.72130873
AncientThought_s003,45.1816,2.32865,25.625,3.3057,137779.7917,264122.2617,30259,2256621,2986.346351,380.9776166,2436.160761,3572.352186,506.7382796,29.92673693
AncientThought_s004,21.4646,1.51187,12.9667,3.0876,38455.475,222013.6038,954,2456204,1339.693861,1430.79534,1.968450384,3688.397601,203.9044058,11.8023484
AncientThought_s005,8.89555,3.8997,4.6083,3.8818,12238.48333,4674.409303,7460,60907,460.016059,187.8011757,84.94685131,724.1739304,96.45041656,5.371304788
AncientThought_s006,11.0208,4.04023,6,3.9819,16201.6,25532.49316,13134,294696,780.4868932,20.56570782,725.0334307,797.9842664,102.7793206,5.750085122
AncientThought_s007,10.0273,2.47309,5.7833,3.1267,15284.93333,22361.75238,11724,259117,735.5085936,32.04873194,686.8442554,787.6361496,102.4573124,5.730813167
AncientThought_s008,8.29509,3.2707,6.175,3.1214,20960.04167,22699.40983,11496,217253,494.0722155,148.3932344,333.8829048,695.2213556,138.9471238,7.91470201
AncientThought_s009,8.44365,3.11873,9.425,4.0734,51934.66667,29372.08639,17168,247174,2319.98231,1275.991798,409.8957947,3335.346092,728.1478729,43.1779411
AncientThought_s010,9.1112,6.37751,6.875,5.8669,31969.225,30829.38055,15255,253028,1438.20703,970.7445024,221.656504,3505.028615,310.1936314,18.16368175
AncientThought_s011,5.45364,4.47137,4.7583,5.031,17114.81667,7679.51934,11769,79966,212.7015497,27.21795505,162.3258265,313.6676316,189.1399813,10.91870826
AncientThought_s012,10.8343,2.60771,6.65,4.0445,22748.93333,39219.70875,14262,446910,706.2311717,400.9180994,221.3620819,1047.056701,157.379002,9.017836603
AncientThought_s013,11.6624,7.21843,6.9833,4.4232,27713.06667,45101.2066,15856,474673,1307.358548,212.2125512,1025.768148,1600.929831,187.006378,10.79101365
AncientThought_s014,8.29821,9.03457,5.9917,5.3393,22162.43333,23819.64515,14294,274066,1203.782724,158.772195,694.3501642,1409.611997,162.0960928,9.300151079
AncientThought_s015,7.94334,9.39928,6.2417,6.1864,22846.85,19513.14077,17599,189363,1449.074611,316.0664305,1046.002338,2343.632724,161.8041381,9.282677798
AncientThought_s016,11.3496,5.95885,7.0917,5.2558,25580.86667,32479.64514,17765,291637,1498.050332,805.7867621,898.7326015,2794.554032,144.2432049,8.231668634
AncientThought_s017,10.1888,6.88552,7.0333,5.092,27747.45,26003.78964,19920,285606,1322.811989,531.5563716,974.0284015,2642.659401,165.7343234,9.517896549
AncientThought_s018,8.13862,8.27256,8.025,4.8051,32675.325,8321.361211,25227,114382,1376.064342,763.2251864,276.52267,2614.648443,296.1381398,17.32247074
AncientThought_s019,8.0651,2.55798,6.2167,4.4213,24828.875,26797.60188,11733,239815,614.2352519,363.139558,233.5387473,969.4960668,158.0995195,9.060959056
AncientThought_s020,10.4865,2.88577,8.6667,4.1738,29035.825,17083.79388,24024,213863,239.7979171,2.709739436,235.4171725,246.4291586,212.9683109,12.34481657
AncientThought_s021,9.62826,6.01448,7.3417,4.275,34099.375,35531.91866,20903,355525,2383.235903,1691.066691,236.5079954,4705.042401,405.3466172,23.8585192
AncientThought_s022,4.27445,2.98993,6.325,2.7527,29476.2,6740.785155,21407,84617,2304.997965,1867.131324,160.7757341,4274.374173,524.594877,30.99544138
AncientThought_s023,5.61096,3.46706,6.5,4.5387,28510.275,11574.58918,17491,134004,211.5389458,167.2951329,58.9582116,1139.175755,346.3396053,20.32699217
AncientThought_s024,7.2722,6.84138,5.2,4.7389,23526.84167,17198.77877,13616,141538,1127.608751,193.4012643,753.1254485,1670.894216,192.6577263,11.12924276
AncientThought_s025,5.73479,8.69526,5.5833,5.479,32723.5,14413.53619,16480,165207,1036.658582,79.24468932,817.9434453,1238.621978,304.3600717,17.81454742
AncientThought_s026,5.62362,5.72347,6.0167,3.5542,24994.625,9595.394646,17565,91001,1038.417177,211.2936154,782.6172247,1791.87617,305.7914621,17.9002151
AncientThought_s027,6.11623,1.35748,3.1667,3.5873,10702.13333,12418.74921,4777,104862,360.6417937,355.6199634,132.089569,1063.191554,108.7564309,6.107810857
AncientThought_s028,5.02611,3.80015,2.8333,4.6207,11839.94167,5880.161495,6111,65876,61.32176549,47.43082951,32.8970467,342.2407682,78.99996726,4.326908007
Busy_City_s000,18.3076,16.9664,9.3417,12.2843,79504.175,36133.13742,0,152648,1580.674819,629.2038071,0,2155.285053,412.404221,24.28091168
Busy_City_s001,25.7398,11.7662,18.7083,10.0884,94859.35,98851.22686,45381,1136428,1689.315291,204.9262213,1265.906821,2044.60951,526.4941994,31.10911445
Busy_City_s002,32.4491,6.54991,27.05,5.2378,74052.11667,219268.6851,30377,2451414,1599.984483,59.7741011,1319.257494,1704.232722,373.1487575,21.93150056
Busy_City_s003,21.3778,1.73425,11.6083,2.0847,25357.18333,128403.4701,6131,1417295,1714.040598,184.8220997,1226.598594,1809.302688,154.3654986,8.8374806
Busy_City_s004,20.7021,2.54971,10.9417,2.5681,24358.95833,92340.12127,9748,1026720,1783.773701,14.40915958,1754.568004,1811.546486,157.0393719,8.997509984
Busy_City_s005,19.2588,4.84364,11.7667,4.4154,37777.00833,102223.4361,8281,1142110,1210.778676,323.3610288,917.4856182,1790.210515,300.8190135,17.60261764
