Video Name,SI ,TI,K(VMAF),K(PSNR),K(SSIM)
AncientThought_s000,4.93421,13.2903,414.2235898,224.070509,4.8143132
AncientThought_s001,5.01841,4.51282,409.1853313,233.35871,4.83379785
AncientThought_s002,18.0281,3.19386,434.4521688,227.8884611,4.83454715
AncientThought_s003,45.1816,2.32865,418.5595906,209.1969494,4.8204569
AncientThought_s004,21.4646,1.51187,444.2408539,236.8380906,4.86040355
AncientThought_s005,8.89555,3.8997,464.7491959,252.7567892,4.8727129
AncientThought_s006,11.0208,4.04023,466.0729461,249.8548586,4.8695406
AncientThought_s007,10.0273,2.47309,464.7198922,250.5982342,4.8700856
AncientThought_s008,8.29509,3.2707,457.1884265,242.6835907,4.85726615
AncientThought_s009,8.44365,3.11873,432.7953977,217.0166637,4.7445597
AncientThought_s010,9.1112,6.37751,434.4423831,224.0175808,4.81970915
AncientThought_s011,5.45364,4.47137,436.981777,240.5385745,4.85504105
AncientThought_s012,10.8343,2.60771,451.9076981,242.6097704,4.8600008
AncientThought_s013,11.6624,7.21843,452.4384533,235.7837512,4.8516925
AncientThought_s014,8.29821,9.03457,450.8982368,239.2831737,4.8554138
AncientThought_s015,7.94334,9.39928,447.0230454,237.5002521,4.85299095
AncientThought_s016,11.3496,5.95885,448.6179273,238.6454152,4.85478175
AncientThought_s017,10.1888,6.88552,441.6595003,236.3488215,4.8506486
AncientThought_s018,8.13862,8.27256,412.0907967,226.2912829,4.82253555
AncientThought_s019,8.0651,2.55798,447.1684739,238.3910628,4.855009
AncientThought_s020,10.4865,2.88577,430.3699585,232.3399537,4.83914075
AncientThought_s021,9.62826,6.01448,431.3308431,226.0087894,4.8238386
AncientThought_s022,4.27445,2.98993,402.8236777,224.4709214,4.807213
AncientThought_s023,5.61096,3.46706,438.8212977,229.7095231,4.8383684
AncientThought_s024,7.2722,6.84138,443.0992688,237.8081464,4.85316005
AncientThought_s025,5.73479,8.69526,429.3875638,232.6901501,4.84319905
AncientThought_s026,5.62362,5.72347,438.7747226,235.6873576,4.84850585
AncientThought_s027,6.11623,1.35748,467.607137,253.642979,4.87541355
AncientThought_s028,5.02611,3.80015,459.3585168,252.693091,4.8749141
AncientThought_s029,4.79046,1.28391,454.1503166,247.4470088,4.864559
AncientThought_s030,52.2496,0.336585,471.6050946,279.8950883,4.89489385
AncientThought_s031,78.27,0,477.1217081,349.4940587,4.89904585
AncientThought_s032,83.1554,0.419761,465.6147799,262.6432513,4.8898731
AncientThought_s033,94.8643,0.0760902,476.825878,319.073877,4.8982543
AncientThought_s034,61.4808,0.291234,472.0329198,281.7378078,4.89496085
AncientThought_s035,49.2672,0.233079,476.1863045,324.123536,4.89829515
AncientThought_s036,31.0899,0.0637939,477.3483495,382.0218931,4.8997212
Busy_City_s000,18.3076,16.9664,384.9845118,218.3150057,4.8007196
Busy_City_s001,25.7398,11.7662,348.1685092,203.6210067,4.7372005
Busy_City_s002,32.4491,6.54991,397.8853188,210.2606666,4.7713639
Busy_City_s003,21.3778,1.73425,433.6161981,238.3324189,4.85150445
Busy_City_s004,20.7021,2.54971,420.5883748,235.0289581,4.8485371
Busy_City_s005,19.2588,4.84364,397.2742425,226.5057345,4.82393675
Busy_City_s006,18.3489,6.45377,404.9049924,229.384656,4.83401565
Busy_City_s007,18.2893,18.2658,448.7592074,241.6192794,4.85716115
Busy_City_s008,18.2696,11.8711,403.6133108,227.4243105,4.82358825
Busy_City_s009,16.2014,5.29122,412.8575581,233.3922744,4.8460858
Busy_City_s010,18.6256,5.1314,435.248804,241.3179538,4.8635682
Busy_City_s011,18.2645,5.60412,435.5957511,241.9534386,4.86364555
Busy_City_s012,25.8375,5.67655,409.5797412,223.8562593,4.81528805
Busy_City_s013,31.6243,5.6595,430.1762427,224.5744137,4.82200825
Busy_City_s014,25.504,15.6519,375.1615546,207.4093034,4.77547015
Busy_City_s015,21.8409,16.7378,377.8296485,211.0911633,4.79000055
Busy_City_s016,21.4792,8.56842,376.6574762,212.2233128,4.7855377
Busy_City_s017,20.6739,7.93124,444.4716775,244.0915385,4.8624693
Busy_City_s018,28.7125,7.9396,400.3234837,215.0764819,4.7941564
Busy_City_s019,41.5544,6.10839,418.1228579,209.7300114,4.7824115
Busy_City_s020,34.338,11.567,387.4087676,202.2278849,4.7466067
Busy_City_s021,32.7794,6.8029,381.2753642,205.7299648,4.7521267
Busy_City_s022,29.2655,3.13662,436.5739304,230.8972591,4.84083225
Busy_City_s023,28.2769,2.98301,424.655555,226.9841081,4.82022995
Busy_City_s024,29.9242,3.91873,455.1892759,240.0576658,4.85459405
