video,si,ti,e,h,mvResMean,mvResStf,mvResMin,mvResMax,pixVarMean,pixVarStd,pixVarMin,pixVarMax,kpsnr,kssim,kvmaf,kssim_trans,kpsnr_trans,kvmaf_trans
AncientThought_s000,4.93421,13.2903,4.8583,3.4905,24366.275,3875.307581,14793,31310,4149.189365,2203.163251,2.361801854,7406.923372,154806.4163,3294.423706,287361.9898,22.47717614,28.69438097,50.99184579
AncientThought_s001,5.01841,4.51282,4.4917,2.013,19699.375,4857.102828,16939,70427,1393.611897,625.8541725,530.6022191,2788.161676,160002.6793,3305.175582,280709.6038,22.89382189,31.58431988,49.44648709
AncientThought_s002,18.0281,3.19386,11.6,2.7683,22704.3,6062.738344,14023,60001,1853.812244,728.5288382,579.7705363,2817.551407,157026.0002,3307.017778,301823.9476,22.96520878,29.92881849,54.35137909
AncientThought_s003,45.1816,2.32865,25.625,3.3057,137779.7917,264122.2617,30259,2256621,2986.346351,380.9776166,2436.160761,3572.352186,143466.7404,3298.674702,292440.2353,22.6419064,22.38773896,52.17152942
AncientThought_s004,21.4646,1.51187,12.9667,3.0876,38455.475,222013.6038,954,2456204,1339.693861,1430.79534,1.968450384,3688.397601,161930.1597,3323.215414,304688.1693,23.59288305,32.65630193,55.01674184
AncientThought_s005,8.89555,3.8997,4.6083,3.8818,12238.48333,4674.409303,7460,60907,460.016059,187.8011757,84.94685131,724.1739304,173476.4006,3331.79193,319814.8378,23.92523145,39.07782657,58.53068838
AncientThought_s006,11.0208,4.04023,6,3.9819,16201.6,25532.49316,13134,294696,780.4868932,20.56570782,725.0334307,797.9842664,171532.9537,3329.735138,321081.1772,23.84552874,37.99696467,58.82486083
AncientThought_s007,10.0273,2.47309,5.7833,3.1267,15284.93333,22361.75238,11724,259117,735.5085936,32.04873194,686.8442554,787.6361496,171857.7538,3329.906822,319606.0536,23.85218167,38.17760458,58.48218752
AncientThought_s008,8.29509,3.2707,6.175,3.1214,20960.04167,22699.40983,11496,217253,494.0722155,148.3932344,333.8829048,695.2213556,166904.5455,3321.968114,315930.0617,23.54454893,35.42284225,57.6282494
AncientThought_s009,8.44365,3.11873,9.425,4.0734,51934.66667,29372.08639,17168,247174,2319.98231,1275.991798,409.8957947,3335.346092,148622.443,3243.693217,297740.1132,20.51132,25.25511988,53.40269857
AncientThought_s010,9.1112,6.37751,6.875,5.8669,31969.225,30829.38055,15255,253028,1438.20703,970.7445024,221.656504,3505.028615,156999.0419,3297.041113,303371.2358,22.57860323,29.91382539,54.71081633
AncientThought_s011,5.45364,4.47137,4.7583,5.031,17114.81667,7679.51934,11769,79966,212.7015497,27.21795505,162.3258265,313.6676316,166042.8357,3321.186568,304862.3535,23.51426326,34.94359619,55.0572051
AncientThought_s012,10.8343,2.60771,6.65,4.0445,22748.93333,39219.70875,14262,446910,706.2311717,400.9180994,221.3620819,1047.056701,166821.4167,3323.368554,311440.3035,23.59881734,35.37660959,56.5852722
AncientThought_s013,11.6624,7.21843,6.9833,4.4232,27713.06667,45101.2066,15856,474673,1307.358548,212.2125512,1025.768148,1600.929831,162901.5493,3319.466505,316146.8068,23.44760914,33.19654721,57.67859959
AncientThought_s014,8.29821,9.03457,5.9917,5.3393,22162.43333,23819.64515,14294,274066,1203.782724,158.772195,694.3501642,1409.611997,165621.8991,3321.904605,315431.362,23.5420879,34.70948926,57.51240075
AncientThought_s015,7.94334,9.39928,6.2417,6.1864,22846.85,19513.14077,17599,189363,1449.074611,316.0664305,1046.002338,2343.632724,165230.5877,3320.611821,312653.8403,23.49199124,34.49185861,56.86717851
AncientThought_s016,11.3496,5.95885,7.0917,5.2558,25580.86667,32479.64514,17765,291637,1498.050332,805.7867621,898.7326015,2794.554032,165106.4781,3321.837488,312814.415,23.53948705,34.42283418,56.90448024
AncientThought_s017,10.1888,6.88552,7.0333,5.092,27747.45,26003.78964,19920,285606,1322.811989,531.5563716,974.0284015,2642.659401,163664.4807,3319.197538,309147.7671,23.43718639,33.62085696,56.05271274
AncientThought_s018,8.13862,8.27256,8.025,4.8051,32675.325,8321.361211,25227,114382,1376.064342,763.2251864,276.52267,2614.648443,156735.8119,3302.074478,291152.9121,22.77365104,29.76742815,51.87248242
AncientThought_s019,8.0651,2.55798,6.2167,4.4213,24828.875,26797.60188,11733,239815,614.2352519,363.139558,233.5387473,969.4960668,164749.9471,3319.874459,307393.4005,23.46341777,34.22454688,55.64517088
AncientThought_s020,10.4865,2.88577,8.6667,4.1738,29035.825,17083.79388,24024,213863,239.7979171,2.709739436,235.4171725,246.4291586,159888.0458,3309.99549,297772.1818,23.08059803,31.52056565,53.41014814
AncientThought_s021,9.62826,6.01448,7.3417,4.275,34099.375,35531.91866,20903,355525,2383.235903,1691.066691,236.5079954,4705.042401,156525.1998,3298.51271,298390.9154,22.63562906,29.65029476,53.55388085
