Video Name,SI ,TI,E,H,mvreserrmean,mvreserrstd,mvreserrmin,mvreserrmax,K(VMAF),K(PSNR),K(SSIM)
AncientThought_s000,4.93421,13.2903,4.8583,3.4905,24366.275,3875.307581,14793,31310,287361.9898,154806.4163,3294.423706
AncientThought_s001,5.01841,4.51282,4.4917,2.013,19699.375,4857.102828,16939,70427,280709.6038,160002.6793,3305.175582
AncientThought_s002,18.0281,3.19386,11.6,2.7683,22704.3,6062.738344,14023,60001,301823.9476,157026.0002,3307.017778
AncientThought_s003,45.1816,2.32865,25.625,3.3057,137779.7917,264122.2617,30259,2256621,292440.2353,143466.7404,3298.674702
AncientThought_s004,21.4646,1.51187,12.9667,3.0876,38455.475,222013.6038,954,2456204,304688.1693,161930.1597,3323.215414
AncientThought_s005,8.89555,3.8997,4.6083,3.8818,12238.48333,4674.409303,7460,60907,319814.8378,173476.4006,3331.79193
AncientThought_s006,11.0208,4.04023,6,3.9819,16201.6,25532.49316,13134,294696,321081.1772,171532.9537,3329.735138
AncientThought_s007,10.0273,2.47309,5.7833,3.1267,15284.93333,22361.75238,11724,259117,319606.0536,171857.7538,3329.906822
AncientThought_s008,8.29509,3.2707,6.175,3.1214,20960.04167,22699.40983,11496,217253,315930.0617,166904.5455,3321.968114
AncientThought_s009,8.44365,3.11873,9.425,4.0734,51934.66667,29372.08639,17168,247174,297740.1132,148622.443,3243.693217
AncientThought_s010,9.1112,6.37751,6.875,5.8669,31969.225,30829.38055,15255,253028,303371.2358,156999.0419,3297.041113
AncientThought_s011,5.45364,4.47137,4.7583,5.031,17114.81667,7679.51934,11769,79966,304862.3535,166042.8357,3321.186568
AncientThought_s012,10.8343,2.60771,6.65,4.0445,22748.93333,39219.70875,14262,446910,311440.3035,166821.4167,3323.368554
AncientThought_s013,11.6624,7.21843,6.9833,4.4232,27713.06667,45101.2066,15856,474673,316146.8068,162901.5493,3319.466505
AncientThought_s014,8.29821,9.03457,5.9917,5.3393,22162.43333,23819.64515,14294,274066,315431.362,165621.8991,3321.904605
AncientThought_s015,7.94334,9.39928,6.2417,6.1864,22846.85,19513.14077,17599,189363,312653.8403,165230.5877,3320.611821
AncientThought_s016,11.3496,5.95885,7.0917,5.2558,25580.86667,32479.64514,17765,291637,312814.415,165106.4781,3321.837488
AncientThought_s017,10.1888,6.88552,7.0333,5.092,27747.45,26003.78964,19920,285606,309147.7671,163664.4807,3319.197538
AncientThought_s018,8.13862,8.27256,8.025,4.8051,32675.325,8321.361211,25227,114382,291152.9121,156735.8119,3302.074478
AncientThought_s019,8.0651,2.55798,6.2167,4.4213,24828.875,26797.60188,11733,239815,307393.4005,164749.9471,3319.874459
AncientThought_s020,10.4865,2.88577,8.6667,4.1738,29035.825,17083.79388,24024,213863,297772.1818,159888.0458,3309.99549
AncientThought_s021,9.62826,6.01448,7.3417,4.275,34099.375,35531.91866,20903,355525,298390.9154,156525.1998,3298.51271
AncientThought_s022,4.27445,2.98993,6.325,2.7527,29476.2,6740.785155,21407,84617,276383.6263,154629.4125,3286.738788
AncientThought_s023,5.61096,3.46706,6.5,4.5387,28510.275,11574.58918,17491,134004,304314.3891,160799.5745,3308.503141
AncientThought_s024,7.2722,6.84138,5.2,4.7389,23526.84167,17198.77877,13616,141538,309318.3049,164765.9884,3321.061448
AncientThought_s025,5.73479,8.69526,5.5833,5.479,32723.5,14413.53619,16480,165207,299088.4183,160858.9855,3313.831902
AncientThought_s026,5.62362,5.72347,6.0167,3.5542,24994.625,9595.394646,17565,91001,305856.5578,162623.9046,3316.10926
AncientThought_s027,6.11623,1.35748,3.1667,3.5873,10702.13333,12418.74921,4777,104862,320170.6131,175244.2551,3333.226036
AncientThought_s028,5.02611,3.80015,2.8333,4.6207,11839.94167,5880.161495,6111,65876,315365.5204,174828.1257,3332.942295
Busy_City_s000,18.3076,16.9664,9.3417,12.2843,79504.175,36133.13742,0,152648,271327.8351,150364.9196,3293.117195
Busy_City_s001,25.7398,11.7662,18.7083,10.0884,94859.35,98851.22686,45381,1136428,242255.4263,139630.6365,3247.597536
Busy_City_s002,32.4491,6.54991,27.05,5.2378,74052.11667,219268.6851,30377,2451414,275964.4442,144037.9234,3269.058668
Busy_City_s003,21.3778,1.73425,11.6083,2.0847,25357.18333,128403.4701,6131,1417295,305126.5404,164460.5272,3323.198809
Busy_City_s004,20.7021,2.54971,10.9417,2.5681,24358.95833,92340.12127,9748,1026720,294146.8289,161474.5931,3319.32509
